categoria,award,clase,pagina,archivo,ancho_pt,alto_pt
Recreation,Olympics (Formerly Olympic),Builder,295,olympics-formerly-olympic.png,98.0,65.8
Recreation,Playing with Friends,Early Bird,299,playing-with-friends.png,98.0,65.8
Recreation,Skater,Helping Hands,305,skater.png,98.0,65.8
Recreation,Skier,Sunbeam,307,skier.png,98.0,65.8
Recreation,Spotter,Busy Bee,311,spotter.png,98.0,65.8
Recreation,Swimmer I (Formerly Beginning Swimming),Early Bird,313,swimmer-i-formerly-beginning-swimming.png,98.0,65.8
Recreation,Swimmer II (Formerly Swimmer I),Busy Bee,315,swimmer-ii-formerly-swimmer-i.png,98.0,65.8
Recreation,Swimmer III (Formerly Swimmer II),Builder,317,swimmer-iii-formerly-swimmer-ii.png,98.0,65.8
Recreation,Toys,Early Bird,319,toys.png,98.0,65.8
Recreation,Trains and Trucks,Little Lamb,321,trains-and-trucks.png,98.0,65.8
Recreation,Trikes and Bikes,Little Lamb,323,trikes-and-bikes.png,98.0,65.8
Spiritual,Acts of Kindness,Sunbeam,329,acts-of-kindness.png,98.0,65.8
Spiritual,Bible Friends I,Little Lamb,333,bible-friends-i.png,98.0,65.8
Spiritual,Bible Friends II,Early Bird,337,bible-friends-ii.png,98.0,65.8
Spiritual,Bible I,Busy Bee,339,bible-i.png,98.0,65.8
Spiritual,Bible II,Sunbeam,341,bible-ii.png,98.0,65.8
Spiritual,Bible III (Formerly Bible II),Builder,343,bible-iii-formerly-bible-ii.png,98.0,65.8
Spiritual,Bible IV,Helping Hands,345,bible-iv.png,98.0,65.8
Spiritual,Bible Royalty,Helping Hands,347,bible-royalty.png,98.0,66.7
Spiritual,Creation,Little Lamb,353,creation.png,98.0,65.8
Spiritual,Delightful Sabbath,Busy Bee,357,delightful-sabbath.png,98.0,65.8
Spiritual,Disciples,Builder,359,disciples.png,98.0,65.8
Spiritual,Early Adventist Pioneers,Helping Hands,361,early-adventist-pioneers.png,98.0,65.8
Spiritual,Friend of Jesus,Sunbeam,363,friend-of-jesus.png,98.0,65.8
Spiritual,Fruits of the Spirit,Helping Hands,365,fruits-of-the-spirit.png,98.0,65.8
Spiritual,God’s World,Early Bird,367,gods-world.png,98.0,65.8
Spiritual,Jesus’ Special Supper,Early Bird,371,jesus-special-supper.png,97.5,65.4
Spiritual,Jesus’ Star,Early Bird,373,jesus-star.png,98.0,65.8
Spiritual,Listening,Busy Bee,375,listening.png,98.0,65.8
Spiritual,Little Boy Jesus,Little Lamb,379,little-boy-jesus.png,98.0,65.8
Spiritual,My Church,Helping Hands,383,my-church.png,98.0,65.8
Spiritual,My Friend Jesus,Little Lamb,385,my-friend-jesus.png,89.9,65.0
Spiritual,Parables of Jesus,Sunbeam,389,parables-of-jesus.png,98.0,66.0
Spiritual,Pearly Gates,Helping Hands,391,pearly-gates.png,98.0,65.8
Spiritual,Prayer,Builder,393,prayer.png,98.0,65.8
Spiritual,Prayer Warrior,Helping Hands,395,prayer-warrior.png,98.0,65.8
Spiritual,Rainbow Promise,Helping Hands,399,rainbow-promise.png,98.0,78.0
Spiritual,Steps to Jesus,Helping Hands,401,steps-to-jesus.png,98.3,74.6
Spiritual,Tabernacle,Helping Hands,403,tabernacle.png,98.0,65.8
Spiritual,Temperance,Builder,405,temperance.png,98.0,65.8
